"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 08 16:04:06 IST 2026","Thu Jan 08 16:04:06 IST 2026","9","tests","test_login_data_driven","","","","test_alltypes",""
"passed","Thu Jan 08 15:48:00 IST 2026","Thu Jan 08 15:48:04 IST 2026","3351","tests","test_login","","","","test_alid_user_login",""
"passed","Fri Jan 09 15:47:56 IST 2026","Fri Jan 09 15:47:59 IST 2026","3481","tests","test_login","","","","test_valid_user_login",""
"passed","Fri Jan 09 15:47:51 IST 2026","Fri Jan 09 15:47:52 IST 2026","1365","tests","test_login","","","","test_invalid_user_login",""
"passed","Fri Jan 09 15:48:16 IST 2026","Fri Jan 09 15:48:17 IST 2026","593","tests","test_product_search","","","","test_product_search",""
"passed","Fri Jan 09 15:48:09 IST 2026","Fri Jan 09 15:48:13 IST 2026","3256","tests","test_login_data_driven","","","","test_login_data_driven[Invalid login-abcxyz@xyz.com-abcxyx-failure]",""
"broken","Fri Jan 09 15:47:42 IST 2026","Fri Jan 09 15:47:47 IST 2026","5142","tests","test_end_to_end","","","","test_end_to_end_flow","
    End-to-End Test Flow:
    1. Register a new user.
    2. Logout.
    3. Login with the registered credentials.
    4. Search and add a product to cart.
    5. Verify cart contents.
    "
"broken","Fri Jan 09 15:47:37 IST 2026","Fri Jan 09 15:47:38 IST 2026","1142","tests","test_add_product_to_cart","","","","test_add_product_to_cart","
    Automated Test Case: Verify user can search and add a product to the cart.
    "
"passed","Fri Jan 09 15:48:25 IST 2026","Fri Jan 09 15:48:27 IST 2026","1752","tests","test_user_registration","","","","test_user_registration",""
"passed","Fri Jan 09 15:48:02 IST 2026","Fri Jan 09 15:48:06 IST 2026","3745","tests","test_login_data_driven","","","","test_login_data_driven[Valid login-pavanol@abc.com-test@123-success]",""
"passed","Fri Jan 09 15:48:20 IST 2026","Fri Jan 09 15:48:22 IST 2026","2375","tests","test_user_logout","","","","test_user_logout","
    Automated Test Case: Verify that a logged-in user can successfully log out of the application.
    "
